Group,Classification,Name,xFwd,xAft,yCentre,ySize,zHeight,zBase,FixedWeight_lightships,VariableWeight_cond1,VariableWeight_cond2,FluidDensity,AreaRequired,VolRequired,File
TweenDeck, 215,BowThrusterRoom2,74,62,0.0,3,2.7,5.3,,,,,,,BowThursterRoom2.stl
TweenDeck, 216,WorkShop1,65,62,-2.5,2,2.4,5.3,,,,,,,Workshop.stl
TweenDeck, 217,ChainTank1,75.5,74,0.75,1.5,5.6,5.3,,,,,,,ChainTank.stl
TweenDeck, 218,ChainTank2,75.5,74,-0.75,1.5,5.6,5.3,,,,,,,ChainTank.stl

MainDeck,301,Cover1,53.5,0.5,0.0,15,2.9,8,,,,,,,cover1.stl
MainDeck, 302,Tank35,34,27,8.25,1.5,2.9,8,,,,,,,tank18.stl
MainDeck, 303,Tank36,34,27,-8.25,1.5,2.9,8,,,,,,,tank18.stl
MainDeck, 304,Tank37,41,34,8.25,1.5,2.9,8,,,,,,,tank18.stl
MainDeck, 305,Tank38,41,34,-8.25,1.5,2.9,8,,,,,,,tank18.stl
MainDeck, 306,Tank39,54.5,53.5,0.0,2,2.9,8,,,,,,,tank19.stl
MainDeck, 307,FiremStore,59.5,57,8.25,1.5,2.9,8,,,,,,,FiremStore.stl
MainDeck, 308,DeckWorkshop,59.5,57,5.75,3.5,2.9,8,,,,,,,DeckWorkshop.stl
MainDeck, 309,Tank40,59.5,57.5,3.25,1.5,2.9,8,,,,,,,tank20.stl
MainDeck, 310,Store1,59.5,57.5,1.5,2,2.9,8,,,,,,,Store1.stl
MainDeck, 311,Tank40,59.5,57.5,-3.25,1.5,2.9,8,,,,,,,tank20.stl
MainDeck, 312,Chem,59.5,57,-8.25,1.5,2.9,8,,,,,,,chem.stl
MainDeck, 313,Paint,59.5,57,-6.75,1.5,2.9,8,,,,,,,paint.stl
MainDeck, 314,Inc&GarbRoom,64.5,59.5,6.25,4.5,2.9,8,,,,,,,Inc&GarbRoom.stl
MainDeck, 315,Room1,63,59.5,1.75,4.5,2.9,8,,,,,,,room1.stl
MainDeck, 316,Room2,63,59.5,-5,6,2.9,8,,,,,,,room2.stl
MainDeck, 317,Room3,64.5,63,1.75,4.5,2.9,8,,,,,,,room3.stl
MainDeck, 318,Room4,67,63,-3,2,2.9,8,,,,,,,room4.stl
MainDeck, 319,Room5,67,63,-5.5,3.5,2.9,8,,,,,,,room5.stl
MainDeck, 320,Room6,70.5,67,-4.75,5,2.9,8,,,,,,,room6.stl
MainDeck, 321,Room7,74,70.5,-3,6,2.9,8,,,,,,,room7.stl
MainDeck, 322,Tank41,75.5,74,3.75,4.5,2.9,8,,,,,,,tank21.stl
MainDeck, 323,Tank42,75.5,74,-3.75,4.5,2.9,8,,,,,,,tank21.stl
MainDeck, 324,Room8,71.5,64.5,5,5,2.9,8,,,,,,,room8.stl
MainDeck, 325,Stairs1,70.5,64.5,1,3,2.9,8,,,,,,,stairs1.stl
MainDeck, 326,Toilets1,71.5,70.5,1.25,2.5,2.9,8,,,,,,,toilets1.stl
MainDeck, 327,DeckOffice1,74,71.5,3.25,6.5,2.9,8,,,,,,,DeckOffice1.stl

Adeck,401,Cover2,53.5,0,0.0,15,2,10.9,,,,,,,cover2.stl
Adeck,402,StabTank1,57,53.5,0.0,18,2.9,10.9,,,,,,,StabTank.stl
Adeck,403,Freezer1,60.5,57,8,2,2.9,10.9,,,,,,,freezer.stl
Adeck,404,Fridge1,64.5,60.5,8,1.5,2.9,10.9,,,,,,,fridge.stl
Adeck,405,DryRoom1,64.5,57,5.5,3,2.9,10.9,,,,,,,DryRoom.stl
Adeck,406,Room9,59.5,57,0,8,2.9,10.9,,,,,,,room9.stl
Adeck,407,ACRoom1,64.5,57,-6.5,5,2.9,10.9,,,,,,,ACRoom1.stl
Adeck,408,Room10,64.5,59.5,1.5,5,2.9,10.9,,,,,,,room10.stl
Adeck,409,CL1,62,59.5,-3,2,2.9,10.9,,,,,,,CL1.stl
Adeck,410,Toilets2,64.5,62,-3,2,2.9,10.9,,,,,,,toilets2.stl
Adeck,411,Gallery1,70,64.5,5.25,5,2.9,10.9,,,,,,,gallery1.stl
Adeck,412,Stairs2,70,64.5,0.75,4,2.9,10.9,,,,,,,stairs1.stl
Adeck,413,DayRoom1,70,64.5,-5,6,2.9,10.9,,,,,,,DayRoom1.stl
Adeck,414,MessRoom1,74,70,0,13,2.9,10.9,,,,,,,MessRoom1.stl
Adeck, 415,RopeBin1,75.5,74,0.0,3,2.9,10.9,,,,,,,RopeBin1.stl
Adeck, 416,Store2,75.5,74,3.5,4,2.9,10.9,,,,,,,store.stl
Adeck, 417,Store3,75.5,74,-3.5,4,2.9,10.9,,,,,,,store.stl
Adeck, 418,Store4,82,75.5,0,10,2.9,10.9,,,,,,,store2.stl

Bdeck, 501,SafetyBoat1,50.5,44,7.5,3,1,13.8,,,,,,,SafetyBoat.stl
Bdeck, 502,SafetyBoat2,60,53.5,7.5,3,1,13.8,,,,,,,SafetyBoat.stl
Bdeck, 503,HoistBase1,55.5,52.5,-6.5,3,5.4,13.8,,,,,,,HoistBase.stl
Bdeck,504,Stairs3,70,64.5,0.75,4,2.7,13.8,,,,,,,stairs1.stl
Bdeck,505,CableRoom1,82,71.5,0.0,14,2.7,13.8,,,,,,,CableRoom1.stl
Bdeck,506,Cabin3,71.5,69,6,4,2.7,13.8,,,,,,,cabin1.stl
Bdeck,507,Cabin2,69,66.5,6,4,2.7,13.8,,,,,,,cabin1.stl
Bdeck,508,Cabin1,66.5,62,6.5,4,2.7,13.8,,,,,,,cabin2.stl
Bdeck,509,Tank43,64.5,59,2,4,5.3,13.8,,,,,,,tank22.stl
Bdeck,510,Room11,59,54.5,0,8,2.7,13.8,,,,,,,room11.stl
Bdeck,511,Cabin4,61.5,56.5,-6.25,4.5,2.7,13.8,,,,,,,cabin3.stl
Bdeck,512,Cabin5,66.5,61.5,-5.25,6.5,2.7,13.8,,,,,,,cabin5.stl
Bdeck,513,Cabin5,71.5,69,-4.5,5,2.7,13.8,,,,,,,cabin4.stl
Bdeck,514,Cabin6,69,66.5,-4.5,5,2.7,13.8,,,,,,,cabin4.stl

Cdeck,601,CorridorExt1,59,55.5,-2.25,13.5,2.7,16.5,,,,,,,corridor.stl
Cdeck,602,InstrumentRoom1,64.5,59,-1.75,3.5,2.7,16.5,,,,,,,InstrumentRoom.stl
Cdeck,603,CaptainCabin1,65,59,-6.5,5,2.7,16.5,,,,,,,CaptainCabin.stl
Cdeck,604,ChiefOfficerCabin1,68,65,-6,4.5,2.7,16.5,,,,,,,ChiefOfficerCabin.stl
Cdeck,605,FirstOfficerCabin1,71,68,-6,4,2.7,16.5,,,,,,,FirstOfficerCabin.stl
Cdeck,606,ChiefStewardCabin1,77,71,-3,6,2.7,16.5,,,,,,,ChiefStewardCabin.stl
Cdeck,607,ElectricianCabin1,77,71,3,6,2.7,16.5,,,,,,,ElectricianCabin.stl
Cdeck,608,Stairs4,69,64.5,0.5,4,2.7,16.5,,,,,,,stairs2.stl
Cdeck,609,CleanLocker1,66,64.5,-2,2,2.7,16.5,,,,,,,SmallRoom.stl
Cdeck,610,BondStore1,67.5,66,-2,2,2.7,16.5,,,,,,,SmallRoom.stl
Cdeck,611,Linen1,69,67.5,-2,2,2.7,16.5,,,,,,,SmallRoom.stl
Cdeck,612,ChiefCabin1,66.5,60.5,6.5,5,2.7,16.5,,,,,,,ChiefCabin.stl
Cdeck,613,FirstEngineerCabin1,69,66.5,6,4,2.7,16.5,,,,,,,FirstEngineerCabin.stl
Cdeck,614,SecondEngineerCabin1,71,69,5.75,3.5,2.7,16.5,,,,,,,SecondEngineerCabin.stl

BridgeDeck,701,Hoist1,54.5,53.5,-0.5,9,4.15,19.2,,,,,,,hoist.stl
BridgeDeck,702,AccessStairs1,63,59,6.5,5,4.15,19.2,,,,,,,AccessStairs1.stl
